user_id,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,696,697,698,699,700,701,702,703,704,705,706,1119,1120,1121,1122,1123,1124,1125,1401,1402,1403,1404,1405,1406,1407,1704,1705,1706,1707
1, 25, 13, 14, 38,, 459,,,, 132,,,,,,,,,,,, 99,,,,,,,,,,,, 244,,,,,, 41,,,,,,, 63,,,,, 47,,,,,,,,, 202, 65,,,, 14,,,,,,,,,,,,
2, 10, 5, 49, 19, 92, 23, 57, 40, 42, 211, 51, 411, 2052, 557, 77, 223, 600, 349, 1316, 37, 281, 42, 128, 1071,, 760, 475, 90, 214,, 791,, 101, 205, 134,,, 243, 372, 1282, 558, 901, 31, 424, 733,, 24, 347, 1747,, 849, 37,, 188,, 1285, 335,, 163,, 19, 17, 97, 83, 199, 12, 135, 24,,,,,,, 185, 113, 36, 73
4, 26, 6,,,,,,,,,,,,,,,,,,,, 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, 52, 39, 25, 19, 364, 25, 99,, 56, 46, 83,,,, 36, 158,,,, 47,, 25, 100,,,,,,,,,,,, 37,,,,,,,, 39,,,, 46,,,,, 45,, 99,,,,,,,, 35,,,, 23,, 104,,,,,,,,,,
6, 68, 20, 32, 18,, 42,,,,, 135,,,,,,,,,,, 94,,,,,,,,,,,,,,,,,,,,,,,,, 111,,,,, 154,,,,,,,,,,,,,,,,,,,,,,,,,,
7, 13, 8,,, 51,, 45,,,, 38,,,,,,,,,,,,,,, 97,,,,,,,,,, 168,,,, 31,,,,,,,,,,,, 31,,,,,,, 54,, 36,,, 26,,,,,,,,,,,,,,
8, 18, 5, 16, 12, 91, 35, 167,, 73, 94, 131,,,, 31,,,,, 92,, 47, 159, 460,,,,,,,,, 77,, 133,,,, 282,,,, 213,,,, 43,,,,, 47,, 89,,,,, 196,, 11, 16, 128, 31,, 8, 125, 26,, 95,,,,, 17, 56, 61, 66
9, 30, 13, 42, 46, 580, 76, 221, 239, 195, 77, 468,,,, 73, 394,,,, 65,, 35, 347,,,,,,,,,,, 72,,,,, 113,,,, 115,, 237,, 43,,,, 208, 40,,,,,,,,, 28, 20,, 45,, 12,,,,,,,,,,,,
10, 64, 22, 30, 347,, 33,,,,, 249,,,, 143,,,,,,, 35,,,,,,,,,,,,,,,,,,,,,,,,, 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
